donor,region,roi,n_cells,unknown_frac,other_immune_frac,unresolved_frac
HPAP-118,Tail of pancreas,ROI2,2511,0.15690959776981284,0.4042214257268021,0.5611310234966149
HPAP-005,Head of pancreas,ROI3,1987,0.11222949169602416,0.4524408656265727,0.5646703573225968
HPAP-053,Head of pancreas,ROI2,4214,0.22615092548647367,0.34527764594209776,0.5714285714285714
HPAP-036,Body of pancreas,ROI2,3951,0.19919007846114908,0.3733232093140977,0.5725132877752468
HPAP-040,Body of pancreas,ROI1,3148,0.18043202033036848,0.39612452350698857,0.576556543837357
HPAP-054,Body of pancreas,ROI2,4077,0.0755457444199166,0.5035565366691195,0.579102281089036
HPAP-082,Tail of pancreas,ROI5,3926,0.09959246051961283,0.4826795720835456,0.5822720326031584
HPAP-095,Tail of pancreas,ROI5,4074,0.2820324005891016,0.30363279332351495,0.5856651939126165
HPAP-053,Head of pancreas,ROI1,4518,0.1316954404603807,0.45506861443116425,0.5867640548915449
HPAP-099,Body of pancreas,ROI3,4080,0.2551470588235294,0.33259803921568626,0.5877450980392156
HPAP-006,Body of pancreas,ROI5,1310,0.18473282442748093,0.40458015267175573,0.5893129770992367
HPAP-093,Body of pancreas,ROI3,3438,0.13932518906340896,0.45200698080279234,0.5913321698662013
HPAP-006,Head of pancreas,ROI3,2090,0.14688995215311004,0.4444976076555024,0.5913875598086125
HPAP-118,Head of pancreas,ROI4,2744,0.11989795918367346,0.47558309037900875,0.5954810495626822
HPAP-037,Body of pancreas,ROI2,2793,0.2606516290726817,0.3372717508055854,0.597923379878267
HPAP-059,Body of pancreas,ROI3,2430,0.3736625514403292,0.22798353909465022,0.6016460905349794
HPAP-093,Head of pancreas,ROI5,4119,0.22068463219227968,0.38480213644088374,0.6054867686331634
HPAP-093,Head of pancreas,ROI1,3218,0.053760099440646365,0.555313859540087,0.6090739589807335
HPAP-095,Body of pancreas,ROI3,4393,0.2900068290462099,0.31914409287502843,0.6091509219212383
HPAP-006,Tail of pancreas,ROI2,910,0.15824175824175823,0.45164835164835165,0.6098901098901099
HPAP-006,Tail of pancreas,ROI1,625,0.3056,0.3136,0.6192
HPAP-105,Tail of pancreas,ROI2,3760,0.17952127659574468,0.4422872340425532,0.6218085106382979
HPAP-093,Body of pancreas,ROI2,3746,0.12600106780565937,0.49599572877736253,0.6219967965830219
HPAP-004,Body of pancreas,ROI1,4895,0.1442288049029622,0.47824310520939733,0.6224719101123595
HPAP-093,Tail of pancreas,ROI3,4350,0.26275862068965516,0.3622988505747126,0.6250574712643677
HPAP-004,Tail of pancreas,ROI2,3115,0.18651685393258427,0.44526484751203854,0.6317817014446228
HPAP-006,Body of pancreas,ROI6,1104,0.125,0.5072463768115942,0.6322463768115942
HPAP-099,Body of pancreas,ROI1,4057,0.202119792950456,0.4343110672911018,0.6364308602415578
HPAP-118,Head of pancreas,ROI1,2698,0.15937731653076354,0.4822090437361008,0.6415863602668643
HPAP-095,Tail of pancreas,ROI2,3905,0.32445582586427657,0.3172855313700384,0.6417413572343149
HPAP-054,Body of pancreas,ROI3,2839,0.22543148996125395,0.41704825642831983,0.6424797463895737
HPAP-059,Body of pancreas,ROI1,1788,0.37024608501118567,0.2785234899328859,0.6487695749440716
HPAP-118,Tail of pancreas,ROI3,3167,0.08904325860435744,0.5620461004104831,0.6510893590148406
HPAP-012,Tail of pancreas,ROI2,2013,0.14903129657228018,0.5042225534028812,0.6532538499751614
HPAP-056,Tail of pancreas,ROI2,3118,0.22129570237331622,0.4387427838357922,0.6600384862091084
HPAP-056,Tail of pancreas,ROI3,3121,0.2576097404677988,0.40595962832425503,0.6635693687920539
HPAP-099,Tail of pancreas,ROI2,3384,0.14361702127659576,0.5218676122931442,0.66548463356974
HPAP-014,Head of pancreas,ROI3,994,0.12977867203219315,0.5362173038229376,0.6659959758551308
HPAP-012,Tail of pancreas,ROI3,3286,0.2248934875228241,0.4424832623250152,0.6673767498478393
HPAP-054,Tail of pancreas,ROI2,2885,0.21351819757365684,0.45684575389948007,0.6703639514731369
HPAP-018,Tail of pancreas,ROI5,1814,0.3974641675854465,0.278941565600882,0.6764057331863285
HPAP-118,Tail of pancreas,ROI1,2331,0.2084942084942085,0.4693264693264693,0.6778206778206778
HPAP-012,Body of pancreas,ROI1,977,0.3132036847492323,0.368474923234391,0.6816786079836233
HPAP-006,Head of pancreas,ROI1,2413,0.1910484873601326,0.4910899295482801,0.6821384169084127
HPAP-005,Head of pancreas,ROI2,3493,0.1717721156598912,0.521614657887203,0.6933867735470942
HPAP-054,Head of pancreas,ROI2,3592,0.27589086859688194,0.4265033407572383,0.7023942093541202
HPAP-018,Body of pancreas,ROI2,2872,0.16051532033426183,0.5525766016713092,0.713091922005571
HPAP-004,Body of pancreas,ROI3,4681,0.11044648579363384,0.6069215979491561,0.7173680837427899
HPAP-136,Body of pancreas,ROI1,4758,0.2515762925598991,0.48360655737704916,0.7351828499369483
HPAP-004,Tail of pancreas,ROI3,3108,0.27380952380952384,0.47297297297297297,0.7467824967824968
HPAP-004,Body of pancreas,ROI4,4531,0.24586184065327743,0.5184286029574046,0.764290443610682
HPAP-099,Head of pancreas,ROI4,3250,0.2403076923076923,0.5286153846153846,0.7689230769230769
HPAP-139,Tail of pancreas,ROI3,4271,0.21493795364083354,0.5591196441114493,0.7740575977522829
HPAP-136,Body of pancreas,ROI2,5579,0.24592220828105396,0.5407779171894604,0.7867001254705144
HPAP-099,Head of pancreas,ROI3,3581,0.21781625244345154,0.5696732756213349,0.7874895280647864
HPAP-095,Body of pancreas,ROI1,3152,0.3565989847715736,0.4467005076142132,0.8032994923857868
HPAP-118,Body of pancreas,ROI1,3777,0.2930897537728356,0.5199894095843262,0.8130791633571617
HPAP-053,Body of pancreas,ROI3,3263,0.30585350904076003,0.5130248237817959,0.818878332822556
